drift_type,severity,severity_value,eod,dpd,ece,model,task,replication
concept,2,3.0,0.023508137432188065,0.0040638737107977965,0.7480667880019949,mlp,med_change,0
covariate,0,0.5,0.25238075285061645,0.24538610878187173,0.6054168617715724,logistic_regression,readmit_30,1
covariate,0,0.5,0.020419680878354114,0.004619403724264429,0.027651124535519857,xgboost,readmit_30,1
covariate,0,0.5,0.0,0.0,0.10496097485339256,mlp,readmit_30,1
covariate,0,0.5,0.0,0.0,0.7044181591596166,logistic_regression,extended_stay,1
covariate,0,0.5,0.1210246782235016,0.10475979165936355,0.11210503011750275,xgboost,extended_stay,1
covariate,0,0.5,0.0,0.0,0.7044179908407806,mlp,extended_stay,1
covariate,0,0.5,0.09848302690205826,0.052451534094680244,0.3135555849542468,logistic_regression,med_change,1
covariate,0,0.5,0.00531696925978975,0.02399930506992587,0.004406420817280725,xgboost,med_change,1
covariate,0,0.5,0.010019269780310956,0.005308428782359714,0.45305993537091016,mlp,med_change,1
covariate,1,1.0,0.33635556040834913,0.32503763336183444,0.7096920379262537,logistic_regression,readmit_30,1
covariate,1,1.0,0.03352829511056385,0.011257030772594651,0.08060904192701338,xgboost,readmit_30,1
covariate,1,1.0,0.0,0.0,0.10878548353273106,mlp,readmit_30,1
covariate,1,1.0,0.0,0.0,0.7044181705022003,logistic_regression,extended_stay,1
covariate,1,1.0,0.33080298519134566,0.3208975224206164,0.26793277622493217,xgboost,extended_stay,1
covariate,1,1.0,0.0,0.0,0.7044181702372054,mlp,extended_stay,1
covariate,1,1.0,0.24060188995115386,0.12422087655475077,0.23877972628090938,logistic_regression,med_change,1
covariate,1,1.0,0.00531696925978975,0.02399930506992587,0.0044680590559939976,xgboost,med_change,1
covariate,1,1.0,0.013464575551198125,0.006967835544442269,0.4514825024319721,mlp,med_change,1
covariate,2,1.5,0.34218714426652497,0.33043070533860275,0.7830102934615359,logistic_regression,readmit_30,1
covariate,2,1.5,0.03914627263865374,0.016027825213582,0.10026606968689993,xgboost,readmit_30,1
covariate,2,1.5,0.0,0.0,0.11012362595244556,mlp,readmit_30,1
covariate,2,1.5,0.0,0.0,0.7044181705040446,logistic_regression,extended_stay,1
covariate,2,1.5,0.5551846106330417,0.5079956348454245,0.40004588218645,xgboost,extended_stay,1
covariate,2,1.5,0.0,0.0,0.7044181705036554,mlp,extended_stay,1
covariate,2,1.5,0.4434442672121358,0.23457142623324073,0.14871266813936582,logistic_regression,med_change,1
covariate,2,1.5,0.00531696925978975,0.02399930506992587,0.00445812252382799,xgboost,med_change,1
covariate,2,1.5,0.01475656521528081,0.007590113080223228,0.45013916358102973,mlp,med_change,1
label,0,0.15,0.027700411148373405,0.000620943696867049,0.43571807168975496,logistic_regression,readmit_30,1
label,0,0.15,0.01486386631046439,0.00441197787900411,0.03428788069427768,xgboost,readmit_30,1
label,0,0.15,0.0,0.0,0.13452686278311282,mlp,readmit_30,1
label,0,0.15,0.0,0.0,0.8499636209589188,logistic_regression,extended_stay,1
label,0,0.15,0.05423629578829137,0.04106057755864101,0.14664817661482796,xgboost,extended_stay,1
label,0,0.15,0.0,0.0,0.8498960275830372,mlp,extended_stay,1
label,0,0.15,0.06781363418378238,2.7204756180565504e-05,0.12798733775459065,logistic_regression,med_change,1
label,0,0.15,0.38799414348462663,0.02399930506992587,0.3300632676295125,xgboost,med_change,1
label,0,0.15,0.011469009272816008,0.0040638737107977965,0.1375839654348388,mlp,med_change,1
label,1,0.2,0.04014854392845635,0.000620943696867049,0.3857284429820179,logistic_regression,readmit_30,1
label,1,0.2,0.011406051649330225,0.00441197787900411,0.07952331659785696,xgboost,readmit_30,1
label,1,0.2,0.0,0.0,0.1845164914908498,mlp,readmit_30,1
label,1,0.2,0.0,0.0,0.7999739922511818,logistic_regression,extended_stay,1
label,1,0.2,0.05976879924610601,0.04106057755864101,0.09788041614927931,xgboost,extended_stay,1
label,1,0.2,0.0,0.0,0.7999063988753001,mlp,extended_stay,1
label,1,0.2,0.06747705284048623,2.7204756180565504e-05,0.1604257559446347,logistic_regression,med_change,1
label,1,0.2,0.3505315011667099,0.02399930506992587,0.2799082647035819,xgboost,med_change,1
